Film Adi,Yapim Yili,Yapimci,Izlenme,Kategori
123,2000,Deneme,0,"1, 7, 14, 16",0,0
The Godfather,1972,Francis Ford Copporia,0,10 20,0,0
The Dark Knight,2008,Christoper Nolan,0,2 10 20,0,0
The Godfather: Part Ii,1974,Francis Ford Coppola ,0,10 20,0,0
1,2,Sa,12,1,0,0
Axaz,2,Sad,21,1,0,0
Asxa,2,Sa,12,1,0,0
123,2000,Deneme,231,"1, 7, 14, 16",0,0
1234,12,Sad,12,1,0,0
12345,12,Sad,12,1,0,0
21,23,Sad,12,1,0,0
Azza,21,Asd,12,1,0,0
Asdzaa,123,Sad,213,1,0,0
Zaxaz,123,Sadsa,21,1,0,0
Saxza,21,Sad,1,1,0,0
Sadsda,21,Sad,21,1,0,0
12321312,123,Sda,12,1,0,0
Sazxa,12,Asdsa,21,1,0,0
Azxa,21,Asxa,12,1,0,0
Axz,12,Azx,12,1,0,0
2656,21,Asd,21,1,0,0
Asd,21,As,12,1,0,0
56,45,Sa,5,1,0,0
Dsa,21,As,21,1,0,0
Sad54,21,As,12,1,0,0
Azxaz,21,Dsa,5,5,0,0
5,5,Sa,5,5,0,0
55,21,Sad,5,1,0,0
Sadsaza,5,Sa,5,1,0,0
Sadsazaxz,5,Sad,5,1,0,0
Sdaazxa,2,Sad,5,21,0,0
Asdsfsaasf,21,Sad,213,1,0,0
Zazxazx,21,Ca,21,1,0,0
Sadsad,21,Sad,21,1,0,0
Sadads,2,Sad,12,2,0,0
Saxzax,12,Sad,12,1,0,0
Sdasda,213,Sda,1,1,0,0
Sadsadxa,12,Sad,21,1,0,0
Sda,21,Sda,12,1,0,0
Sadasxz,2,As,12,1,0,0
Avxcxaca,12,Sad,1,1,0,0
Sadaxazxazxa,2,Da,1,1,0,0
Cxacax,2,Asc,2,1,0,0
984,849,Sad,97,7,0,0
Adzxazxa,29,Sad,5,4,0,0
Dasxaxaz,12,Sad,2,2,0,0
Daszdxax,21,Sad,12,12,0,0
Sadsadazxaz,12,Sad,21,1,0,0
Sadazxaz,12,Sad,123,1,0,0
Sadaxaz,12321,Sadsad,12,1,0,0
Asdxazxa,21321,Asd,12,1,0,0
Sada1,12,Sad,12,12,0,0
Axza1,12,Sda,1,1,0,0
Sdazaxazx,123,Sad,213,1,0,0
Yeni1,12,Sad,21,1,0,0
Yeni2,321,Saad,1,1,0,0
Yeni3,3213,Asda,213,1,0,0
Yeni4,213,Sad,1,1,0,0
Yeni5,213,Sad,12,1,0,0
Yeni10,213,Asd,1,1,0,0
Yeni11,12,Sad,12,1,0,0
Yeni12,213,Asd,213,1,0,0
Yeni13,123,Asd,1,1,0,0
Yeni14,321,Asd,123,1,0,0
Sadas,2,Das,21,1,0,0
Asdcxz<,12,Asd,23,1,0,0
Sda3,12,A,1,1,0,0
Asd23,2,Asd,2,1,0,0
Axaazx,32,A,1,1,0,0
5161,1156,Sadsad,15,1,0,0
156165,2,Sad,15,1,0,0
Sda5615,2,A,1,1,0,0
165Asd651,2,Sada,1,1,0,0
Sadasnldas,5,Sad,1,1,0,0
Sadas2136516,156,As,156,1,0,0
Dsa561,2,Asd,15,1,0,0
Dsa156615,2,Dsa,1,1,0,0
Das561,15,Asd,15,1,0,0
Sad5S56,465,Dsa,56,1,0,0
16565,156,Sad,156,1,0,0
156,165,Asd,15,1,0,0
Sda56,15613,Sadasda,156,1,0,0
56156Sad,2,Sadada,15631,1,0,0
561Dsa,2,Asd,1,1,0,0
Sa1651Sa,2,Asd,15,1,0,0
15Asd6,2,Sad,1,1,0,0
Sadas15656As,2,Asd,1,1,0,0
156Asdsa1,2,Asd,1,1,0,0
156Asd,15,Sad,15,1,0,0
S65Sad,2,Sads,1,1,0,0
Sadsa165,2,Sad,1,1,0,0
165Sad61,2,Asd,1,1,0,0
Sad516Sad,2,Asd,1,1,0,0
Sasd561Asd,2,Sad,1,1,0,0
Sad561,165,Sad,15,1,0,0
Sad156,2,Asd,15613,1,0,0
Sad561155613Sad31,2,Sadas,156,1,0,0
Sd1Sad651Sa3D,2,Sadasxzxa,1,1,0,0
Sad165Sa1D65As,156163,Dsadasca,156,1,0,0
Sda65Ads,2,A,1,1,0,0
Sadsad132Asd,156,Sad,1,1,0,0
Asdsa32121Asd,123,Asd,12,1,0,0
Asd3216Sad,132,Asdsad,1,1,0,0
Sad51616Sad,2,As,1,1,0,0
Sadas5D61,2,Asd,1,1,0,0
Sad56135Sad,2,Asd,1,1,0,0
1531Sad653,2,Asd,1,1,0,0
Sad65163Asd,2,Asd,1,1,0,0
1563Sa156As,2,Sad,1,1,0,0
516Sad65As,2,Sad,1,1,0,0
15Sad16Sa51D6As,2,Sadas,156,1,0,0
Dsa516Asd,2,A,1,1,0,0
Dsa2313,2,A,1,1,0,0
Sad1531Sad,15,As,15,1,0,0
Sad8651,2,Asd,1,1,0,0
Sad15616Sad,2,A,1,1,0,0
Sad156Sad16,15263,Sad,1,1,0,0
Sad56,2,A,1,1,0,0
Sda65561,123,Asd,1,1,0,0
Sad156161Sad,2,Sad,1,1,0,0
Ascac13A2,2,As,123,1,0,0
Sad56165Sad,12,A,1,1,0,0
Sadsa51615Sda,2,Dsadas,1,1,0,0
Sda56Sda,2,Asd,1,1,0,0
Asdsadsa1561,2,Dsa,1,1,0,0
Sadsa156,2,Asd,121,1,0,0
Burak,PY_VAR2,Asdas,PY_VAR4,1,0,0
Sadasdsad,1801,Sadasd,213,1,0,0
Adsadas,1800,,,1,0,0
,1800,,,1,0,0
,1800,,,1,0,0
,1800,,,1,0,0
,1800,,,1,0,0
,1800,,,1,0,0
,1800,,,1,0,0
,1800,,,1,0,0
,1800,,,1,0,0
,1800,,,1,0,0
,1800,,,1,0,0
,1800,,,1,0,0
,1800,,,1,0,0
,1800,,,1,0,0
,1800,,,1,0,0
,1800,,,1,0,0
,1800,,,1,0,0
,1800,,,1,0,0
,1800,,,1,0,0
,1800,,,1,0,0
,1800,,,1,0,0
,1800,,,1,0,0
,1800,,,1,0,0
,1800,,,1,0,0
,1800,,,1,0,0
,1800,,,1,0,0
,1800,,,1,0,0
,1800,,,1,0,0
,1800,,,1,0,0
,1800,,,1,0,0
Sadsad123,1800,Sad,213,1,0,0
,1800,,,1,0,0
,1800,,,1,0,0
,1800,,,"[1, 6, 9, 13, 0, 0, 0, 0, 0, 0, 0, 0]",0,0
,1800,,,"[0, 0, 0, 5, 0, 0, 0, 0, 10, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 21, 0]",0,0
,1800,,,"[0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0]",0,0
,1800,,,"[1, 9, 10, 0, 0, 0, 17, 0, 0, 0, 0, 0]",0,0
,1800,,,"[0, 0, 0, 0, 0, 0, 7, 0, 9, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 21, 22]",0,0
,1800,,,"[0, 0, 0, 0, 0, 6, 0, 0, 9, 0, 0, 12, 0, 0, 0, 0, 17, 0, 0, 0, 0, 22]",0,0
,1800,,,"[1, 0, 0, 0, 0, 6, 0, 0, 9, 0, 11, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0]",0,0
,1800,,,"[0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 11, 0, 0, 14, 15, 0, 0, 0, 0, 0, 0, 0]",0,0
,1800,,,"[0, 0, 0, 0, 0, 0, 7, 0, 9, 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 22]",0,0
,1800,,,"[0, 0, 0, 0, 0, 6, 0, 0, 9, 0, 11, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0]",0,0
,1800,,,"[0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 14, 15, 0, 17, 0, 0, 0, 0, 0]",0,0
,1800,,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 16, 17, 18, 0, 0, 0, 0]",0,0
,1800,,,"[0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22]",0,0
Deneme1205,1800,Burak,12345,"1, 2, 3, 8, 11, 18",0,0
Sadsadasdsa,1800,Sadasd,sad,"13, 14, 18",0,0
Asdasdsad,1800,Sadsad,213123,"14, 18",0,0
Sadsadasd,1800,Asdasdsad,21321,,0,0
Asdsad,1800,Sdasa,213123,"2, 12, 14",0,0
Adsaddsa,1800,Sad,21312,"14, 20",0,0
Sadasdasdsa,1800,Sadsadsa,213123,"9, 12, 21",0,0
Sadx1211,1800,Asdsad,3212131,"14, 15",0,0
Sadsasdsadas,1800,Dasdas,sadsad,"10, 13, 15",0,0
Sadxx12,1800,Asd,213,"1, 16",0,0
Adasdsad,1800,Sadasd,213123,"13, 18",0,0
Sadsadsad,1800,Sadsa,213,"6, 16",0,0
Asdasd,1800,Asdsa,1323,"11, 18",0,0
Sadasdasda,123,Asdsa,1323,"11, 18",0,0
Sadasdasdasad,123,Asdsa,1323,"11, 18",0,0
Sdadsa,1800,Asd,213,6,0,0
Sadssdsad,1800,Asdasd,123123,"3, 18, 19",0,0
Sadasdasdsaasd,1800,Sadasdas,21312,"10, 13, 16, 22",0,0
Sadsadsadas,1800,Sadasd,213123,"4, 10, 15, 22",0,0
Asdsadsadasd,1800,Asdasd,21312,"11, 14",0,0
Sadsad213,1800,Asd,123,1,0,0
Sadsadsadasdas,1800,Sadsdasa,213213,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22",0,0
Asdsacxasxsadsa,1800,Dadsad,213123,"12, 14",0,0
Asdsadsd,1800,Sadasda,21312,"9, 15, 22",0,0
Asdsadsa,1800,Sadsad,213213,"8, 13",0,0
Asdsad123,1800,Sad,123123,"6, 7",0,0
Sadasdsadsadsad,1800,Sadsa,21312,"12, 14",0,0
Sadsad213Asd,1800,Sadsa,123,6,0,0
Adsadasdsa,1800,Sadasd,1651,"7, 20",0,0
Asdsadsad,1800,Sadad,213213,"10, 14",0,0
Sadsa,1800,Dsaddas,312231,15,0,0
Sadsasd,1800,Sdasad,213,"14, 20",0,0
Sadasdasd,1800,Sadsad,123,"6, 7",0,0
Sadsadasdsad,1800,Sadsa,213,"14, 16",0,0
Asdsada21321,1800,Sadasd,123123,"14, 15",0,0
Sadsadasasd,1800,Asd,213,"10, 19",0,0
dene,1986,Ali,0,"1, 13, 15, 17",0,0
